Time (sec),A/F Correction #1,A/F Correction #3,A/F Learning #1,A/F Sensor #1 Ratio,AVCS Intake Left,AVCS Intake Right,Closed Loop Fuel Target,Closed/Open Loop Switch,Commanded Fuel Final,Coolant Temperature,Dynamic Advance Multiplier,Engine Speed,Feedback Knock Correction,Hot-Restart Enrichment,Ignition Timing,Inj. #1 Pulse Width {No Latency},Manifold Rel. Pressure,Mass Airflow,Primary Ignition,Sensor Input Monitor Only {Rear O2},Tip-in Enrich. {Last Applied},Wall Wetting Final,Warm-Up Enrichment,Inj. Duty Cycle
0.628,4.69,0.78,5.47,14.47,0,0,14.77,Closed,14.66,203,1.0000,762,0.00,0.0000,13.00,0.925,-8.52,5.32,11.99,14.49,0.0000,0.0000,0.0000,1.30
0.757,4.69,0.78,5.47,14.59,0,0,14.77,Closed,14.66,203,1.0000,752,0.00,0.0000,13.00,0.929,-8.49,5.32,11.99,14.60,0.0000,0.0000,0.0000,1.28
0.897,4.69,0.78,5.47,14.59,0,0,14.77,Closed,14.66,203,1.0000,754,0.00,0.0000,12.50,0.930,-8.48,5.32,11.99,14.60,0.0000,0.0000,0.0000,1.29
1.015,4.69,0.78,5.47,14.70,0,0,14.77,Closed,14.66,203,1.0000,755,0.00,0.0000,12.00,0.933,-8.46,5.35,11.99,14.56,0.0000,0.0000,0.0000,1.29
1.152,4.69,0.78,5.47,14.59,0,0,14.77,Closed,14.66,203,1.0000,746,0.00,0.0000,11.50,0.934,-8.43,5.35,11.99,14.63,0.0000,0.0000,0.0000,1.27
1.273,4.69,0.78,5.47,14.59,0,0,14.77,Closed,14.66,205,1.0000,759,0.00,0.0000,12.00,0.931,-8.43,5.32,11.99,14.60,0.0000,0.0000,0.0000,1.29
1.403,4.69,0.78,5.47,14.59,0,0,14.77,Closed,14.66,205,1.0000,753,0.00,0.0000,12.00,0.929,-8.43,5.35,11.99,14.58,0.0000,0.0000,0.0000,1.29
1.536,4.69,0.78,5.47,14.70,0,0,14.77,Closed,14.66,205,1.0000,751,0.00,0.0000,12.00,0.933,-8.43,5.39,11.99,14.55,0.0000,0.0000,0.0000,1.28
1.661,4.69,0.78,5.47,14.70,0,0,14.77,Closed,14.66,205,1.0000,755,0.00,0.0000,13.00,0.938,-8.43,5.35,11.99,14.60,0.0000,0.0000,0.0000,1.29
1.790,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,747,0.00,0.0000,12.00,0.940,-8.40,5.32,11.99,14.66,0.0000,0.0000,0.0000,1.27
1.919,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,742,0.00,0.0000,13.50,0.942,-8.42,5.32,11.99,14.75,0.0000,0.0000,0.0000,1.27
2.048,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,738,0.00,0.0000,13.50,0.946,-8.40,5.32,11.99,14.80,0.0000,0.0000,0.0000,1.26
2.177,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,737,0.00,0.0000,13.50,0.949,-8.37,5.35,11.99,14.82,0.0000,0.0000,0.0000,1.26
2.308,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,744,0.00,0.0000,13.00,0.952,-8.34,5.32,11.99,14.65,0.0000,0.0005,0.0000,1.27
2.437,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.65,205,1.0000,741,0.00,0.0000,11.50,0.951,-8.34,5.32,11.99,14.89,0.0000,0.0000,0.0000,1.27
2.564,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,732,0.00,0.0000,13.50,0.952,-8.34,5.32,11.99,14.89,0.0000,0.0000,0.0000,1.25
2.696,4.69,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,738,0.00,0.0000,13.00,0.953,-8.34,5.35,11.99,14.85,0.0000,0.0000,0.0000,1.26
2.821,5.47,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,737,0.00,0.0000,13.00,0.958,-8.31,5.32,11.99,14.89,0.0000,0.0006,0.0000,1.26
2.950,5.47,0.78,5.47,14.81,0,0,14.77,Closed,14.64,205,1.0000,741,0.00,0.0000,12.00,0.961,-8.30,5.35,11.99,14.77,0.0000,0.0006,0.0000,1.26
3.080,5.47,0.78,5.47,14.81,0,0,14.77,Closed,14.65,205,1.0000,735,0.00,0.0000,11.50,0.965,-8.29,5.39,11.99,14.90,0.0000,0.0006,0.0000,1.25
3.219,5.47,0.78,5.47,14.81,0,0,14.77,Closed,14.65,205,1.0000,746,0.00,0.0000,12.50,0.963,-8.30,5.35,11.99,14.92,0.0000,0.0006,0.0000,1.27
3.337,5.47,0.78,5.47,14.81,0,0,14.77,Closed,14.65,205,1.0000,749,0.00,0.0000,11.50,0.959,-8.33,5.39,11.99,14.86,0.0000,0.0000,0.0000,1.28
